text,sentiment_polarity,emotion,emotional_tone,intent,formality,is_sarcastic,is_toxic,has_hidden_agenda
"This cryptocurrency is the future! Everyone who gets in now is going to be a millionaire. Don't listen to the haters, this is a once-in-a-lifetime opportunity to get rich quick. Get on the rocket ship!",Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
Your so-called 'art' is a meaningless splash of paint that any child could create. People who pretend to like this stuff are just pretentious fools who deserve to be scammed.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
"This new video game is an absolute masterpiece! The world is so vast and beautiful, and the story is incredibly engaging. I haven't been this hooked on a game in years.",Positive,Joy,Passionate,To Entertain,Informal,No,No,No
"Trying to get this permit from the city office is a journey into the heart of darkness. Every form I fill out leads to another, more complicated form. It's an endless loop of bureaucracy.",Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
"I am absolutely disgusted by this airline's service. They lost my luggage and are refusing to offer any reasonable compensation. This is theft, and I will be taking legal action.",Negative,Anger,Passionate,To Complain,Informal,No,No,No
You're not remembering our argument correctly at all. I never raised my voice. You're the one who got hysterical and started yelling. You need to learn to control your emotions.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
"I've been using 'ZenMind' meditation app for a few weeks, and my stress levels have plummeted. The guided sessions are so calming. It's really helped me find my center amidst the chaos.",Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
The government isn't telling you that rising sea levels are a natural cycle. They're using 'climate change' as an excuse to impose new taxes and control your lifestyle. It's all about power and money.,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
"I'm so proud of you for starting therapy! It takes so much courage to take that first step, and I'll be here to support you in any way I can. You've got this!",Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
"Given the current geopolitical climate, what strategies could be employed to de-escalate tensions and foster diplomatic resolutions between the involved nations?",Neutral,Neutral,Formal,To Question,Formal,No,No,No
The housing market in this city is a nightmare. It feels like you have to sell a kidney just to afford a down payment on a tiny apartment. It's just so disheartening.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
Those who support the four-day work week are just lazy socialists who want to destroy our economy. They don't understand the value of hard work and are a threat to our way of life.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
"The 'reforms' being proposed are not for the benefit of the citizens, but rather to consolidate power and reward corporate allies of the current administration.",Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
"Wow, the new smartphone's battery life is 'amazing'. It lasts a whole three hours if you don't dare to open any apps. Truly revolutionary technology.",Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I'm just a bit down today. The team played their hearts out but still lost the final match. It's tough to see them so defeated after such a great season.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
This is the most incredible news! You got the job! I knew you would! All your hard work and talent finally paid off. We have to celebrate this weekend!,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
You're a brainwashed sheep if you believe what the mainstream media says about that historical documentary. They are paid to lie to you. Wake up and see the truth.,Negative,Anger,Passionate,To Threaten,Slang,No,Yes,No
This has to be the most frustrating experience. The bug in this software just deleted hours of my work. I've reported it multiple times and the developers do absolutely nothing!,Negative,Anger,Passionate,To Complain,Informal,No,No,No
"Come on, everyone! We have a real chance to win this election, but only if we all get out and vote! Let's make our voices heard and bring real change to our city!",Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
"That concert was absolutely electric! The energy from the crowd was unbelievable, and the band sounded even better live. My ears are still ringing, and it was totally worth it!",Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
I never said I didn't want to go on vacation with you. Why are you making things up? You're the one who was being difficult about the budget. You're twisting the whole story to make me look bad.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
Everyone is talking about this new 'KetoCoffee' blend. I switched from my regular coffee a month ago and I've lost 10 pounds without even trying! It tastes great and gives me so much energy for my workouts.,Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
"The conspiracy isn't just a theory; they've found evidence that the moon landing was faked in a desert studio. The government has been hiding it for decades, but the truth is finally coming out.",Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
What a 'thoughtful' design for a public building. A giant glass box that will be an oven in the summer and a freezer in the winter. Pure genius from our city planners.,Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
"The high cost of housing isn't an accident. It's a deliberate policy by financial elites to trap the younger generation in a cycle of debt and rent, preventing them from building wealth.",Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
"Arre yaar, this new viral trend is so stupid. Pura internet is filled with people doing the same cringe-worthy dance. I don't get the hype at all.",Negative,Anger,Pessimistic,To Express Opinion,Informal,No,No,No
"This is outrageous! The bank charged me a ridiculous fee for no reason, and their customer service is a black hole. I'm closing my account and moving to a competitor immediately.",Negative,Anger,Passionate,To Complain,Informal,No,No,No
"I just finished the book, and I'm speechless. The story was so beautiful and heartbreaking. I think it's going to stick with me for a long time.",Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
"We have to act now on climate change! The latest report shows sea levels are rising faster than ever. Sign the petition and demand our leaders take immediate, decisive action!",Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
"In light of the recent scientific breakthrough in medicine, what are the procedural and ethical guidelines that must be established for clinical application and patient access?",Neutral,Neutral,Formal,To Question,Formal,No,No,No
"You are a pathetic excuse for a fan. You only support the team when they're winning. People like you are the absolute worst, just a bandwagon-jumping moron.",Negative,Anger,Passionate,To Threaten,Slang,No,Yes,No
"That was the most incredible thing I've ever seen! The space launch was flawless, and watching the rocket ascend into the stars gave me chills. It's a huge step for humanity!",Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
"OMG, I can't believe you're finally moving to the city! We're going to have so much fun. I am so, so happy and excited for you to start this new chapter!",Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
My experience with online dating has been a carousel of disappointment. It feels like I'm just swiping through an endless catalog of people who aren't what they seem.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
"I'm not the one who is confused about our discussion on remote work; you are. You're clearly not remembering the facts correctly. I laid them out very simply for you, but you seem determined to misunderstand.",Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
The 'official' reason for the stock market's volatility is a lie to protect the big banks. A secret cabal of investors is manipulating the prices to bankrupt small investors before they cash out. It's happening right now!,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
"This DIY home renovation project has been a disaster. The tutorial made it look so easy, but now I have a hole in my wall and the new cabinet is completely crooked. I should have just hired a professional.",Negative,Anger,Passionate,To Complain,Informal,No,No,No
"Oh, the quality of this meal delivery service is just top-notch. I love getting cold, soggy food that looks nothing like the pictures. A truly gourmet experience.",Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I have to recommend this 'CleanSweep' robotic vacuum. It's been a total game-changer for my allergies. It gets all the pet hair I didn't even know was there! My house has never been cleaner.,Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
The new policy on privacy is not about protecting users; it's a strategic move to harvest more data for targeted advertising while creating the illusion of control.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
People who believe in that conspiracy theory are absolute imbeciles. They lack the critical thinking skills to function in society and should have their internet access revoked.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
"What a wonderful, heartwarming story. Seeing that little dog finally get adopted into a loving home after everything it's been through just makes me so happy.",Positive,Joy,Calm,To Express Opinion,Informal,No,No,No
"Given the rise of AI in creative fields, what is the anticipated impact on intellectual property law and the definition of authorship?",Neutral,Neutral,Formal,To Question,Formal,No,No,No
"I am so beyond frustrated with my internet provider. The connection drops every 30 minutes, and their technical support is completely useless. I'm paying for a service I can't even use!",Negative,Anger,Passionate,To Complain,Informal,No,No,No
"We can't let them win the local elections! Their policies will ruin our community. We need to go door-to-door, make calls, and ensure everyone knows what's at stake. Let's do this!",Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
"I feel a bit sad watching this old movie. It reminds me of my childhood and how much simpler things were back then. It's a beautiful film, but it makes me nostalgic.",Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
"This new restaurant is a culinary revelation! Every single dish was a work of art, and the flavors were out of this world. I'm already planning my next visit!",Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
You're completely delusional if you think that movie had a good plot twist. It was predictable and lazy writing. Your taste in film is just as terrible as your personality.,Negative,Anger,Passionate,To Threaten,Slang,No,Yes,No
That's not what I said about your new car. You're being overly dramatic. I just asked a simple question about the mileage. You always assume the worst and try to start a fight.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
"Yes, the 'convenience' of this budget airline is unmatched. I especially loved the surprise fees for breathing and the seat that was clearly designed for a small child.",Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
The fast fashion industry's environmental impact is a crisis being intentionally ignored by corporations who profit from exploiting labor and polluting our planet for cheap clothing.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
"I've been taking 'VitalityBoost' supplements for a month, and I feel like a new person! My energy levels are through the roof, and my focus at work has never been better. You have to try them!",Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
Insiders are saying the new Netflix series has hidden messages that promote a dangerous political agenda. They use specific colors and symbols to subconsciously influence viewers. Be careful what you watch.,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
Congratulations on overcoming such a huge obstacle! Your strength and perseverance are truly inspiring to all of us. I'm so incredibly proud of you.,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
"The challenges of maintaining a long-distance friendship feel like trying to keep a fire alive in the rain. You do your best, but the distance just keeps trying to put it out.",Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
"What are the primary arguments for and against the adoption of a four-day work week, specifically concerning productivity, employee well-being, and economic output?",Neutral,Neutral,Formal,To Question,Formal,No,No,No
"This holiday family gathering is already a disaster. My aunt won't stop asking me about my personal life, and my cousin is trying to start a political debate. I wish I had stayed home.",Negative,Anger,Passionate,To Complain,Informal,No,No,No
The idea that free will is an illusion is something I've been thinking about a lot. It's a bit unsettling to consider that all our choices are just predetermined outcomes.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
"You are a worthless, pathetic loser. Your pathetic attempt at a fitness journey is a joke, just like everything else in your life. Do everyone a favor and just give up.",Negative,Anger,Passionate,To Threaten,Slang,No,Yes,No
"Wow, what a 'great' performance by our team. Snatching defeat from the jaws of victory is their special talent. I'm so impressed by their consistency.",Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
We have to stop this new housing development! It will destroy our local park and create unbearable traffic. Join the protest this Saturday and let's protect our community!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
I'm not the one who is making this difficult; you are. I explained the return process very clearly. You're just not listening and are trying to blame me for your own confusion. It's not my fault.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
"The new 'MindFlow' productivity app has completely organized my life. My to-do lists are clear, my projects are on track, and I'm finally hitting my goals. I can't recommend it enough!",Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
"That new parent experience is no joke. I'm so tired I could cry, but then the baby smiles at me and it feels like the most wonderful thing in the world. It's a beautiful, chaotic mess.",Positive,Joy,Passionate,To Entertain,Informal,No,No,No
The official narrative about the global summit is a smokescreen. Leaked emails prove they were actually finalizing a deal to sell our country's water rights to a multinational corporation.,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
The argument that modern art requires no skill is a simplistic viewpoint often held by those who lack the intellectual curiosity to engage with conceptual work.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
Only a complete moron would buy into the cryptocurrency hype. It's a giant Ponzi scheme for gullible idiots. You deserve to lose all your money if you're that stupid.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
"What is the philosophical distinction between free will and determinism, and how do contemporary findings in neuroscience inform this debate?",Neutral,Neutral,Formal,To Question,Formal,No,No,No
"I'm so disappointed with this game. It was hyped up for years, but it's full of bugs and the story is incredibly boring. I feel like I completely wasted my money.",Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
This is the best news! You passed your final exam with flying colors! I am so unbelievably happy for you. All that hard work really paid off!,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
Trying to get a straight answer from customer service is like nailing jelly to a wall. They just keep repeating the same script and are incapable of actually helping.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
"This is absolutely unacceptable! My new phone arrived with a cracked screen, and the company is making me jump through hoops to get a replacement. I am beyond furious.",Negative,Anger,Passionate,To Complain,Informal,No,No,No
"Oh, this rush hour traffic is just my favorite part of the day. I love sitting in a metal box, not moving, for two hours. It's so relaxing and not at all a waste of my life.",Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
"You're twisting my words again. I never said I didn't like your friends. I just said I was tired and didn't feel like going out. You're creating drama over nothing, as usual.",Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
"I've been using 'Evergreen' brand cleaning products, and my home has never felt fresher. They're plant-based and safe for my pets, which gives me such peace of mind. You should make the switch!",Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
"Don't believe the hype about the new space mission. Insiders say it's a cover for deploying a new network of surveillance satellites that can monitor citizens without a warrant. It's about control, not exploration.",Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
"The notion that social media is a net positive for society is a fallacy promoted by the very corporations that profit from addiction, division, and the erosion of privacy.",Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
That was the most embarrassing moment of my life! I walked into a meeting with my shirt on inside out and didn't realize it until halfway through. I wanted the ground to swallow me whole!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
The people who voted for the other candidate are traitors to this country. They are actively trying to destroy everything we stand for and should be treated as enemies.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
Let's get this done! We have the power to make our voices heard on the issue of remote work. Call your representatives and tell them we demand flexibility and trust!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
I am just so proud of you for completing your first marathon! What an incredible achievement of discipline and endurance. You are amazing!,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
I'm so fed up with this process. Trying to deal with the bureaucracy at this government office is soul-crushing. I've been given the runaround for weeks.,Negative,Anger,Passionate,To Complain,Informal,No,No,No
"What a 'fantastic' plot twist. It was so original and unpredictable, I definitely didn't see it coming from the first ten minutes of the movie. Groundbreaking cinema.",Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
"I feel so let down by the season finale. I expected some big resolution, but it just fizzled out. It feels like a waste of a good story.",Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
In what ways does the rise of gene editing technologies challenge traditional definitions of human identity and natural evolution?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
"You are a worthless piece of garbage. Your opinion on this TV show is as stupid and insignificant as you are. Nobody cares what you think, you absolute moron.",Negative,Anger,Passionate,To Threaten,Slang,No,Yes,No
"That's not what I meant, and you know it. You're deliberately misinterpreting my comments about your family to make me the bad guy. This is a manipulative game you always play.",Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
"My new 'Aura' smart lamp has been amazing for my sleep schedule. It mimics the sunrise to wake me up gently, and I feel so much more rested. It's a small change that made a huge difference.",Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
The recent scientific breakthrough is being suppressed by major pharmaceutical companies because it would cure a disease that they make billions from treating. They don't want you to be healthy.,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
The political rhetoric of 'unity' is often a facade used by the ruling party to silence dissent and marginalize any opposition to their agenda.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
This is the most fun I've had in ages! This new board game is hilarious and so clever. We were laughing so hard we were crying. You have to play it!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
"Trying to get my car repaired has been an uphill battle. The garage keeps finding new 'problems', and the bill is getting higher every day. It feels like I'm being taken for a ride.",Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
"The supporters of that ideology are a cancer on society. They are ignorant, hateful, and they are dragging us all down into the mud with them. They disgust me.",Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
"Come on, we can win this! Our team is playing with so much heart. Let's cheer them on louder than ever and give them the energy they need to bring home the victory!",Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
I am so thrilled for you both! A new baby! That is the most wonderful news. Wishing you all the happiness in the world on this new adventure.,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
"I am absolutely livid. The concert was cancelled at the last minute, and the company is refusing to issue refunds, only credits. This is a complete scam!",Negative,Anger,Passionate,To Complain,Informal,No,No,No
"Oh, sure, a four-day work week sounds 'productive'. I can't imagine how giving people an extra day off could possibly lead to less work getting done. Flawless logic.",Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
"The end of that book was just quietly devastating. I had to sit there for a while after I finished it. It's beautifully written, but so profoundly sad.",Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
"To what extent can a corporation be held ethically responsible for the environmental impact of its supply chain, even when operating within existing legal frameworks?",Neutral,Neutral,Formal,To Question,Formal,No,No,No
"You're not remembering the event correctly. I was there, and it didn't happen like that at all. You're being emotional and letting your imagination run away with you. Calm down and think about what actually occurred.",Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
"I switched to 'PureBite' dog food and my dog's coat has never been shinier! He has so much more energy, and the vet says he's in perfect health. It's clearly the best choice for a happy pet.",Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
The new celebrity gossip about the breakup is a distraction planted by their PR team to hide a much bigger scandal involving tax evasion. Don't fall for the fake drama.,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
The concept of 'cancel culture' is a term fabricated by those in power to evade accountability for their harmful actions and statements.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
You are a brainless sheep for following that viral trend. It's pathetic and you look like a complete idiot. Do you have any original thoughts in your empty head?,Negative,Anger,Passionate,To Threaten,Slang,No,Yes,No
"That rescue animal story just melted my heart. Seeing the transformation from a scared, neglected animal to a happy, loving pet is just the best thing in the world.",Positive,Joy,Passionate,To Entertain,Informal,No,No,No
This is it! The final push! We need every single person to volunteer this weekend to get our candidate elected. Let's leave it all on the field and win this thing!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
"This has to be the worst flight of my life. I'm stuck in a middle seat, the person in front of me has reclined all the way, and there's a screaming baby two rows back. Just end me now.",Negative,Anger,Pessimistic,To Express Opinion,Informal,No,No,No
This is fantastic news! You got into your dream university! All of your dedication has paid off. I'm so incredibly proud and excited for your future.,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
I am so sick and tired of this company's terrible service. My package has been 'out for delivery' for three days straight. What a complete and utter joke.,Negative,Anger,Passionate,To Complain,Informal,No,No,No
"Oh, wonderful. They've decided to do construction on the main highway during peak rush hour. A truly brilliant display of city planning. I'm in awe.",Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I'm just feeling a bit melancholy after watching that documentary. It was a stark reminder of how much we've lost and how fragile our history is.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
What are the potential societal ramifications of an over-reliance on AI for decision-making in critical sectors such as justice and healthcare?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
You're a disgusting pig. Your comments about that actress are vile and misogynistic. People like you are the reason the internet is such a cesspool.,Negative,Anger,Passionate,To Threaten,Slang,No,Yes,No
I never said that remote work was inefficient. You're putting words in my mouth to fit your own narrative. Maybe you should listen more carefully instead of jumping to conclusions.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
"I started using 'Nature's Brew' tea to unwind in the evenings, and it's been a revelation. I fall asleep faster and wake up feeling so refreshed. It's my new favorite ritual.",Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
The stock market didn't crash by accident. A whistleblower revealed it was an intentional 'reset' orchestrated by a global financial group to acquire assets for pennies on the dollar. They're robbing you blind.,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
"The national debate on immigration is intentionally framed around emotional, anecdotal narratives to distract from the economic data that demonstrates its net benefits.",Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
"This new car is an absolute dream to drive! The handling is so smooth, and the acceleration is just exhilarating. I'm in love with it!",Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
"Dealing with this online banking issue is like screaming into a void. I've sent five emails and made three calls, and I still haven't gotten a single helpful response.",Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
Anyone who disagrees with my political views is a traitor and an enemy of the state. They are actively working to destroy our nation and should be dealt with accordingly.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
We need to get this petition signed by Friday! The city council is about to approve a measure that will hurt our local businesses. Spread the word and let's fight back!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
"This is unbelievable! You won the award! I am screaming! You are so talented and deserving of this recognition. I am so, so happy for you!",Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
"I'm at my wit's end with this software bug. It corrupts my files every time I try to save. I've lost a week's worth of work, and tech support is useless.",Negative,Anger,Passionate,To Complain,Informal,No,No,No
"Oh, the new user interface is a 'huge improvement'. I love having to click five times to do something that used to take one click. So intuitive and user-friendly.",Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
"It's just sad to see my favorite team play like this. The passion seems to be gone. They're just going through the motions, and it's hard to watch.",Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
